Autor,Obra (Título),Notas/Descrição
São Tomás de Aquino,Suma Teológica,"Um exemplo monumental de uma mente com um ""SSD"" perfeitamente ordenado. Aquino é capaz de acessar e interligar a filosofia de Aristóteles, as Escrituras e a tradição da Igreja..."
"Carvalho, Olavo de",O Jardim das Aflições,"Uma demonstração do que é ter um SSD mental curado. O autor transita entre filosofia, história, religião e política com uma agilidade que só é possível para quem limpou o lixo..."
"Voegelin, Eric",A Nova Ciência da Política,"Voegelin diagnostica as ideologias modernas (marxismo, progressismo) como ""religiões políticas"" ou ""gnosticismo"". São sistemas que distorcem a realidade..."
"Chesterton, G. K.",Ortodoxia,"Chesterton ensina a olhar para o mundo com ""olhos limpos"", a redescobrir o espanto e a maravilha da realidade que as lentes gastas do cinismo e do materialismo nos impedem de ver."
"Wilson, James Q.; Kelling, George L.",Broken Windows: The police and neighborhood safety (artigo),O artigo original de 1982 que introduziu a teoria e revolucionou o policiamento e a criminologia nos Estados Unidos.
"Bratton, William J.",Turnaround,"A autobiografia do chefe de polícia que aplicou a Teoria das Janelas Quebradas em Nova Iorque nos anos 90, resultando numa queda drástica da criminalidade."
"Sowell, Thomas",Ação Afirmativa ao Redor do Mundo,"...o livro mostra como políticas que ignoram a ordem natural e a meritocracia (...) criam ""janelas quebradas"" na estrutura da sociedade, com consequências desastrosas."
Plutarco,Vidas Paralelas,"Ao comparar as vidas dos grandes homens de Grécia e Roma, vemos um padrão: a ascensão está sempre ligada à imposição de ordem e disciplina, e a queda, à tolerância com a decadência..."
"Freyre, Gilberto",Casa-Grande & Senzala,"Para entender as raízes históricas de uma cultura onde as relações pessoais e a ""lei do mais forte"" frequentemente se sobrepõem à lei impessoal e ao bem público..."
PESQUISA,Autos e reportagens da Operação Mãos Limpas (Itália),Um paralelo histórico de como uma sociedade inteira pode ser consumida pela corrupção quando a tolerância com pequenas ilegalidades se torna a norma.
"Clear, James",Hábitos Atômicos,"O livro demonstra como pequenas mudanças de hábito, os ""1% melhores a cada dia"", são a chave para grandes transformações. É a lógica inversa das janelas quebradas..."
PESQUISA,A Filocalia,"Uma coleção de textos de monges cristãos orientais sobre a ""guarda do coração"" e a ""vigilância dos pensamentos"". É o manual definitivo para ser o vigia da própria mente..."
"Aurelius, Marcus",Meditações,"O diário de um imperador romano que era, em essência, um Vigia da Ordem. Suas anotações são um exercício constante de autoinspeção e de ""conserto"" dos próprios pensamentos..."
"Willink, Jocko; Babin, Leif",Disciplina é Liberdade,"Um manual prático, escrito por ex-comandantes dos Navy SEALs, sobre como a disciplina nos menores detalhes da vida (...) é o alicerce para a liberdade e a eficácia..."
"Peterson, Jordan B.",12 Regras Para a Vida (Regra 6),Deixe sua casa em perfeita ordem antes de criticar o mundo. A base filosófica para o efeito-cascata da ordem.
"Burke, Edmund",Reflexões sobre a Revolução na França,"Burke defende a importância das ""pequenas pelotarias"" (família, comunidade local, igreja) como as verdadeiras escolas de virtude cívica e os pilares da ordem social..."
PESQUISA,Disciplina dos espartanos ou dos legionários romanos,Culturas que entendiam que a força no campo de batalha era forjada na disciplina implacável e na tolerância zero com a fraqueza nos treinos.
"Musashi, Miyamoto",O Livro dos Cinco Anéis,O lendário samurai ensina que o caminho do guerreiro exige um polimento constante e rigoroso da técnica e do espírito.
"Newport, Cal",Minimalismo Digital,"Um guia prático para retomar o controle sobre a tecnologia em sua vida, usando-a como uma ferramenta para seus objetivos, e não como um fim em si mesma."
"Pascal, Blaise",Pensamentos,"Pascal observou (...) que ""toda a infelicidade dos homens provém de uma só coisa: não saberem ficar quietos no seu quarto""."
"Solzhenitsyn, Aleksandr",Não Vivam pela Mentira,"Um ensaio poderoso onde Solzhenitsyn argumenta que a recusa individual em participar da mentira, mesmo em coisas pequenas, é a arma mais potente contra a tirania."
PESQUISA,"A Bíblia, Evangelho de João 8:32","E conhecereis a verdade, e a verdade vos libertará. A liberdade interior está intrinsecamente ligada a uma vida fundamentada na verdade."
"Simon, Yves",A Tradição do Direito Natural,"Uma obra que explica como a lei moral não é uma invenção humana, mas está inscrita na natureza da realidade."
PESQUISA,História de vida de Aristides de Sousa Mendes,"O cônsul português que (...) deliberadamente desobedeceu a ordens ""legais"" mas imorais de seu governo para salvar milhares de vidas."
"Bonhoeffer, Dietrich",Resistência e Submissão,Cartas da prisão de um pastor que se recusou a se omitir diante do mal do nazismo. Uma meditação profunda sobre o custo da graça e o dever de agir.
"Alighieri, Dante",A Divina Comédia,"No Inferno de Dante, os lugares mais sombrios são reservados (...) para os ""ignavos"", os omissos, aqueles que em vida não foram nem bons nem maus..."
"Sarah, Cardeal Robert",A Força do Silêncio: Contra a Ditadura do Ruído,Uma profunda meditação sobre como o silêncio interior e exterior é essencial para a vida espiritual e para o encontro com Deus...
Santo Agostinho,Confissões,A jornada de Agostinho é a de uma alma que busca a paz. (...) só a encontra quando finalmente ordena sua vida e silencia suas paixões para ouvir a voz de Deus.
São Tomás de Aquino,"Suma Teológica, ""Tratado da Lei"" (Parte I-II, Q. 90-97)","A fonte primária para o entendimento da hierarquia das leis (Eterna, Natural, Humana) que exploraremos."
"Kreeft, Peter",A Summa of the Summa,"Uma versão editada e comentada da Suma de São Tomás de Aquino, tornando-a mais acessível para o leitor moderno."
"Aquino, Felipe",Quem é Deus?,"Um livro que compila e organiza os argumentos de diversos pensadores, cientistas e personalidades da história sobre a busca racional por Deus."
"Feser, Edward",As Cinco Provas da Existência de Deus,"Uma defesa filosófica moderna e rigorosa dos argumentos clássicos, incluindo as Cinco Vias de São Tomás de Aquino, demonstrando sua validade contínua."
Santo Agostinho,A Cidade de Deus,"Nesta obra, Agostinho interpreta toda a história humana como uma manifestação da Providência Divina (a Lei Eterna em ação)..."
PESQUISA,"A Bíblia, Livro de Jó",Uma meditação poética sobre a vastidão e a incompreensibilidade da Sabedoria Divina (a Lei Eterna) em contraste com a limitada compreensão humana.
"Lewis, C.S.",A Abolição do Homem,"Uma defesa apaixonada da existência de uma lei moral objetiva e universal, que ele chama de ""Tao"", e um alerta profético sobre as consequências de tentarmos ""abolir"" essa natureza."
Papa São João Paulo II,Encíclica Veritatis Splendor,"Uma exploração profunda da Lei Natural como o fundamento da liberdade e da dignidade humana, em oposição às filosofias do relativismo moral."
"Thoreau, Henry David",A Desobediência Civil,Um ensaio clássico que argumenta sobre o dever moral de não cooperar com leis e governos injustos.
Sófocles,Antígona,"Uma das maiores peças da dramaturgia ocidental, que encena o conflito trágico entre a lei humana (o decreto do rei Creonte) e a lei divina/natural (o dever de Antígona...)."
Platão,A República (Livros IV e IX),"A fonte clássica da analogia da alma como uma cidade, com a descrição detalhada da alma justa (ordenada) e da alma tirânica (desordenada)."
"Pieper, Josef",As Virtudes Fundamentais,"Uma exploração profunda das quatro virtudes cardeais (prudência, justiça, fortaleza e temperança) como os pilares que sustentam a ordem correta da alma."
"Voegelin, Eric",A Nova Ciência da Política,"Uma análise profunda de como a desordem social e os movimentos totalitários modernos são, na verdade, manifestações de uma desordem espiritual na alma humana."
"Corção, Gustavo",A Descoberta do Outro,"Um clássico do pensamento católico brasileiro que explora como a ordem social e o amor ao próximo só podem ser construídos a partir da ordenação do ""eu"" em direção a Deus."
"Sheed, Frank",Teologia e Sanidade,"Um livro que argumenta de forma brilhante que a verdadeira sanidade consiste em ver a realidade a partir da perspectiva de Deus, que é a perspectiva da eternidade."
PESQUISA,"A Bíblia, Livro do Eclesiastes","Uma meditação poética e por vezes brutal sobre a vaidade de todas as buscas terrenas (riqueza, saber, prazer) quando não estão ordenadas para Deus."
"Frankl, Viktor",Em Busca de Sentido,"O testemunho de um psiquiatra que descobriu, no meio do horror do Holocausto, que a busca por um sentido é a maior força da vida humana."
Papa São João Paulo II,Carta Apostólica Salvifici Doloris (Sobre o Sentido Cristão do Sofrimento Humano),"Um documento profundo sobre como o sofrimento, unido ao de Cristo, adquire um valor redentor."
Santo Agostinho,Confissões,O livro é o relato de uma alma em busca da felicidade. Agostinho mostra como a buscou em todas as coisas criadas (...) e como cada uma delas o decepcionou...
"Lewis, C.S.",O Peso da Glória,"Um sermão que explora o desejo humano por uma alegria e uma beleza que este mundo não pode satisfazer, argumentando que esses desejos são, na verdade, nossa ""saudade de casa""..."
Irmão Lourenço da Ressurreição,A Prática da Presença de Deus,Um pequeno clássico espiritual que ensina como transformar as tarefas mais mundanas e triviais do dia a dia em atos de amor e comunhão com Deus...
PESQUISA,"A Bíblia, Segunda Carta de São Paulo aos Coríntios 4:17-18","Pois a nossa leve e momentânea tribulação produz para nós um eterno peso de glória, imensurável... ...porque as que se veem são temporais, e as que não se veem são eternas."
Santo Agostinho,Confissões,"O maior manual já escrito sobre a inspeção da própria alma, o diagnóstico de sua desordem e o caminho para a sua reordenação em Deus."
Platão,A República,"A obra clássica que nos dá o mapa da alma ordenada (Ordo Animae), comparando-a a uma cidade justa e bem governada."
PESQUISA,"A Bíblia, Livro dos Provérbios 4:23","Sobre tudo o que se deve guardar, guarda o teu coração, porque dele procedem as fontes da vida."
"Scruton, Roger",Beleza,"Uma obra que nos ensina a fazer a ""curadoria"" do nosso olhar, buscando a beleza como um antídoto para a profanação do mundo moderno e um alimento para a alma."
Platão,Fedro,"O diálogo que contém a famosa alegoria da alma como uma biga, com um cocheiro (Razão) a tentar controlar dois cavalos, um bom (Vontade) e um rebelde (Apetites)."
"Goleman, Daniel",Inteligência Emocional,"(...) o livro oferece ferramentas práticas para o primeiro passo do domínio de si: a autoconsciência, a capacidade de reconhecer e nomear os próprios sentimentos."
"Sartre, Jean-Paul",O Existencialismo é um Humanismo,"(...) Sartre captura brilhantemente a angústia e a responsabilidade da decisão. Para ele, ""o homem não é nada mais do que aquilo que ele faz de si mesmo""."
PESQUISA,História de Abraão na Bíblia (Gênesis 12 e 22),"Abraão é o arquétipo do homem de decisão. Ele ""corta fora"" sua terra, sua parentela e (...) está disposto a cortar o futuro em obediência a Deus..."
"ten Boom, Corrie",O Refúgio Secreto,"O testemunho de uma sobrevivente dos campos de concentração nazistas que (...) tomou a decisão de perdoá-lo, descrevendo o ato como a liberação final."
"Lewis, C.S.",Cristianismo Puro e Simples,Lewis faz a distinção crucial entre perdoar a ação (o que somos chamados a fazer) e fingir que a ação não foi errada (o que não somos chamados a fazer).
PESQUISA,"A Bíblia, Parábola do Credor Incompassivo (Mateus 18:21-35)","A mais poderosa lição de Cristo sobre o perdão, mostrando a hipocrisia de quem, tendo sido perdoado de uma dívida impagável, recusa-se a perdoar uma dívida insignificante."
"Kowalska, Santa Faustina",Diário: A Misericórdia Divina na Minha Alma,"Um mergulho na profundidade do mistério da misericórdia de Deus, que nos ama e perdoa não por nossos méritos, mas apesar de nossas misérias."
PESQUISA,Catecismo da Igreja Católica (Parágrafos 1422-1498),"A seção completa sobre o ""Sacramento da Penitência e da Reconciliação"", que explica sua instituição, seus efeitos e sua necessidade."
"Vianney, São João Maria (o Cura d'Ars)",Sermões,"Os escritos do padroeiro dos padres de paróquia, que passou a vida no confessionário, revelam uma profunda compreensão da beleza e do poder transformador do Sacramento da Reconciliação."
"Sheed, Frank",Teologia e Sanidade,"Sheed argumenta que a sanidade é simplesmente ver a realidade como ela é. E a realidade última é que somos criaturas feitas por Deus e para Deus, e nosso destino é a eternidade."
PESQUISA,"A Bíblia, Apocalipse de São João","(...) o livro do Apocalipse é a grande revelação da ordem final, onde toda a justiça será restaurada e cada ato, bom ou mau, receberá sua recompensa ou punição eterna."
PESQUISA,Impacto da corrupção no desenvolvimento social e econômico do Brasil,-
PESQUISA,Neopatrimonialismo e a persistência das elites no Brasil,-
PESQUISA,Lista de bens de Sérgio Cabral apreendidos pela Lava Jato,-
PESQUISA,Quanto rende R$ 100 milhões em fundos de investimento,...para ter uma ideia da renda passiva gerada pela corrupção.
PESQUISA,Decisões do STF que anularam condenações da Lava Jato,-
PESQUISA,Lista de ministros do STF indicados por Lula e Dilma,...para entender as conexões políticas por trás das decisões.
PESQUISA,Calculadora de salário líquido CLT,...para simular o custo real de um funcionário para uma empresa.
PESQUISA,Impostômetro,...para ver em tempo real a quantidade de impostos arrecadados no Brasil.
PESQUISA,Índice de Liberdade Econômica Heritage Foundation Brasil,...para ver a classificação do país.
PESQUISA,Custo Brasil: o que é e como afeta as empresas,-
PESQUISA,Lula discurso café da manhã (YouTube),...e compare vídeos de diferentes épocas para ver a repetição da mesma promessa.
PESQUISA,Argentina Kirchner bolsas populismo,...para ver o resultado final de décadas de políticas de dependência estatal: inflação de três dígitos e pobreza generalizada.
PESQUISA,Ranking 'Doing Business' Banco Mundial Brasil,"...para ver a posição vergonhosa do Brasil em indicadores de facilidade de abrir empresas, pagar impostos, etc."
PESQUISA,História de empreendedores brasileiros que se mudaram para os EUA,...para ler relatos em primeira mão sobre a diferença entre os dois ambientes de negócios.
PESQUISA,Antonio Gramsci e o conceito de hegemonia cultural,-
PESQUISA,O que é o Foro de São Paulo e quais partidos fazem parte,-
PESQUISA,Olavo de Carvalho A mentalidade revolucionária,...para encontrar aulas e textos que dissecam esta forma de pensar.
PESQUISA,Agenda 2030 e a mitigação da soberania individual,...para entender as conexões globais deste projeto de controle.
PESQUISA,Críticas à Constituição de 1988 por economistas liberais,-
PESQUISA,História da inflação no Brasil antes do Plano Real,-
PESQUISA,Número de servidores públicos no Brasil 1988 vs hoje,-
PESQUISA,Custo da burocracia para empresas no Brasil,-
PESQUISA,A Constutição do Império do Brasil,-
PESQUISA,A Constituição Americana,-
PESQUISA,Reportagens sobre hiperinflação no Brasil anos 80 e 90 (YouTube),-
PESQUISA,Inflação mensal Brasil governo Sarney,-
PESQUISA,Plano Cruzado e o congelamento de preços,-
PESQUISA,Fiscais do Sarney e o sumiço da carne nos supermercados,-
PESQUISA,Escândalo da compra de votos para a reeleição de FHC,-
PESQUISA,Críticas e suspeitas sobre as privatizações no governo FHC,-
PESQUISA,"Criação das agências governamentais por FHC, o que elas na verdade são?",-
PESQUISA,Como funcionava o esquema dos Anões do Orçamento,-
PESQUISA,Lista de parlamentares envolvidos no escândalo dos Anões do Orçamento e quais foram punidos,-
PESQUISA,Ideologia do desenvolvimentismo no Brasil,-
PESQUISA,Críticas ao modelo de substituição de importações,-
PESQUISA,Dívida externa e inflação durante o governo JK,-
PESQUISA,Custo da construção de Brasília valores corrigidos,-
PESQUISA,Críticas à arquitetura e urbanismo de Brasília,-
PESQUISA,Simbolismo socialista na obra de Oscar Niemeyer,-
PESQUISA,Criação de empresas estatais durante o regime militar,-
PESQUISA,O milagre econômico brasileiro e suas contradições,-
PESQUISA,Viktor Frankl A última das liberdades humanas,...para ler sobre a capacidade de escolher a própria atitude em qualquer circunstância.
PESQUISA,"Edmund Burke e a sociedade como um contrato entre os mortos, os vivos e os que hão de nascer",...para entender sua responsabilidade histórica.
PESQUISA,Frédéric Bastiat 'O que se vê e o que não se vê',"O ensaio clássico sobre os custos ocultos de todas as ações governamentais, a vacina perfeita contra o mito do ""gratuito""."
PESQUISA,Thomas Sowell e a falácia do custo zero,-
PESQUISA,A propaganda política durante o Estado Novo e o DIP,-
PESQUISA,O culto à personalidade de Getúlio Vargas,-
PESQUISA,Propaganda do Estado Novo Getúlio Vargas (YouTube),...para ver e ouvir os materiais produzidos pelo DIP.
PESQUISA,Como o DIP controlava a imprensa na Era Vargas,-
PESQUISA,Custo de um funcionário para a empresa no Brasil CLT,-
PESQUISA,Flexibilização das leis trabalhistas e geração de empregos em outros países,-
PESQUISA,História da Primeira República Brasileira,-
PESQUISA,Oligarquias na República Velha,-
PESQUISA,A figura do coronel no interior do Brasil,-
PESQUISA,A relação entre coronelismo e o jeitinho brasileiro,-
PESQUISA,História e críticas à Consolidação das Leis do Trabalho (CLT),-
PESQUISA,Instituto Mises Brasil,...para artigos que analisam a legislação trabalhista brasileira sob a ótica da liberdade econômica.
PESQUISA,Taxa de juros do rotativo do cartão de crédito no Brasil,-
PESQUISA,Weekly vs Monthly pay pros and cons,...para entender os debates sobre os modelos de pagamento em outros países.
PESQUISA,O 13º salário é realmente um benefício?,-
PESQUISA,Como o custo do 13º salário é embutido nos preços,-
PESQUISA,Custo de demissão de um funcionário no Brasil,-
PESQUISA,Indústria do processo trabalhista no Brasil,-
PESQUISA,Rendimento do FGTS vs Inflação nos últimos 10 anos,...para comprovar a perda do poder de compra.
PESQUISA,Simulador de juros compostos,"...e faça sua própria simulação, comparando a rentabilidade do FGTS (3% ao ano) com a de um investimento conservador (8-10% ao ano)."
PESQUISA,O que é um 401(k) e como funciona,-
PESQUISA,A crise e o déficit do sistema de aposentadorias do INSS,-
